"Integrante";"TipoEquipo";"SO";"TipoSO";"FormatoDD";"ProcesaTexto";"VersionProcesa";"Formato";"NumLetrasa";"TamañoArchivo";"Grupo"
1;"Portátil";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".docx";"1000";16;1
1;"Portátil";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".docx";"2000";16;1
1;"Portátil";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".docx";"3000";16;1
1;"Portátil";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".docx";"4000";16;1
1;"Portátil";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".docx";"5000";16;1
1;"Portátil";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".docx";"6000";16;1
1;"Portátil";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".docx";"7000";16;1
1;"Portátil";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".docx";"8000";16;1
1;"Portátil";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".docx";"9000";16;1
1;"Portátil";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".docx";"10000";16;1
1;"Portátil";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".docx";"20000";16;1
1;"Portátil";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".docx";"30000";16;1
1;"Portátil";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".docx";"40000";16;1
1;"Portátil";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".docx";"50000";16;1
1;"Portátil";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".docx";"60000";16;1
1;"Portátil";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".docx";"70000";16;1
1;"Portátil";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".docx";"80000";16;1
1;"Portátil";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".docx";"90000";16;1
1;"Portátil";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".docx";"100000";16;1
1;"Portátil";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".docx";"200000";16;1
1;"Portátil";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".docx";"300000";16;1
1;"Portátil";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".docx";"400000";20;1
1;"Portátil";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".docx";"500000";20;1
1;"Portátil";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".docx";"600000";20;1
1;"Portátil";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".docx";"700000";20;1
1;"Portátil";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".docx";"800000";20;1
1;"Portátil";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".docx";"900000";20;1
1;"Portátil";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".docx";"1000000";24;1
2;"Portátil";"Win 8";"64 bits";"NTFS";"Microsoft Word";"2007";".doc";"1000";28;1
2;"Portátil";"Win 8";"64 bits";"NTFS";"Microsoft Word";"2007";".doc";"2000";28;1
2;"Portátil";"Win 8";"64 bits";"NTFS";"Microsoft Word";"2007";".doc";"3000";28;1
2;"Portátil";"Win 8";"64 bits";"NTFS";"Microsoft Word";"2007";".doc";"4000";32;1
2;"Portátil";"Win 8";"64 bits";"NTFS";"Microsoft Word";"2007";".doc";"5000";32;1
2;"Portátil";"Win 8";"64 bits";"NTFS";"Microsoft Word";"2007";".doc";"6000";32;1
2;"Portátil";"Win 8";"64 bits";"NTFS";"Microsoft Word";"2007";".doc";"7000";32;1
2;"Portátil";"Win 8";"64 bits";"NTFS";"Microsoft Word";"2007";".doc";"8000";36;1
2;"Portátil";"Win 8";"64 bits";"NTFS";"Microsoft Word";"2007";".doc";"9000";36;1
2;"Portátil";"Win 8";"64 bits";"NTFS";"Microsoft Word";"2007";".doc";"10000";36;1
2;"Portátil";"Win 8";"64 bits";"NTFS";"Microsoft Word";"2007";".doc";"20000";44;1
2;"Portátil";"Win 8";"64 bits";"NTFS";"Microsoft Word";"2007";".doc";"30000";52;1
2;"Portátil";"Win 8";"64 bits";"NTFS";"Microsoft Word";"2007";".doc";"40000";64;1
2;"Portátil";"Win 8";"64 bits";"NTFS";"Microsoft Word";"2007";".doc";"50000";72;1
2;"Portátil";"Win 8";"64 bits";"NTFS";"Microsoft Word";"2007";".doc";"60000";80;1
2;"Portátil";"Win 8";"64 bits";"NTFS";"Microsoft Word";"2007";".doc";"70000";88;1
2;"Portátil";"Win 8";"64 bits";"NTFS";"Microsoft Word";"2007";".doc";"80000";100;1
2;"Portátil";"Win 8";"64 bits";"NTFS";"Microsoft Word";"2007";".doc";"90000";108;1
2;"Portátil";"Win 8";"64 bits";"NTFS";"Microsoft Word";"2007";".doc";"100000";116;1
2;"Portátil";"Win 8";"64 bits";"NTFS";"Microsoft Word";"2007";".doc";"200000";204;1
2;"Portátil";"Win 8";"64 bits";"NTFS";"Microsoft Word";"2007";".doc";"300000";292;1
2;"Portátil";"Win 8";"64 bits";"NTFS";"Microsoft Word";"2007";".doc";"400000";384;1
2;"Portátil";"Win 8";"64 bits";"NTFS";"Microsoft Word";"2007";".doc";"500000";472;1
2;"Portátil";"Win 8";"64 bits";"NTFS";"Microsoft Word";"2007";".doc";"600000";560;1
2;"Portátil";"Win 8";"64 bits";"NTFS";"Microsoft Word";"2007";".doc";"700000";648;1
2;"Portátil";"Win 8";"64 bits";"NTFS";"Microsoft Word";"2007";".doc";"800000";740;1
2;"Portátil";"Win 8";"64 bits";"NTFS";"Microsoft Word";"2007";".doc";"900000";828;1
2;"Portátil";"Win 8";"64 bits";"NTFS";"Microsoft Word";"2007";".doc";"1000000";916;1
3;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".doc";"1000";24;1
3;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".doc";"2000";24;1
3;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".doc";"3000";24;1
3;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".doc";"4000";28;1
3;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".doc";"5000";28;1
3;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".doc";"6000";28;1
3;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".doc";"7000";28;1
3;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".doc";"8000";32;1
3;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".doc";"9000";32;1
3;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".doc";"10000";32;1
3;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".doc";"20000";44;1
3;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".doc";"30000";52;1
3;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".doc";"40000";64;1
3;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".doc";"50000";72;1
3;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".doc";"60000";84;1
3;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".doc";"70000";92;1
3;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".doc";"80000";100;1
3;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".doc";"90000";112;1
3;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".doc";"100000";120;1
3;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".doc";"200000";220;1
3;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".doc";"300000";316;1
3;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".doc";"400000";416;1
3;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".doc";"500000";516;1
3;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".doc";"600000";612;1
3;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".doc";"700000";712;1
3;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".doc";"800000";812;1
3;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".doc";"900000";908;1
3;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".doc";"1000000";980;1
4;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2007";".rtf";"1000";32;1
4;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2007";".rtf";"2000";36;1
4;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2007";".rtf";"3000";36;1
4;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2007";".rtf";"4000";36;1
4;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2007";".rtf";"5000";36;1
4;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2007";".rtf";"6000";40;1
4;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2007";".rtf";"7000";40;1
4;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2007";".rtf";"8000";40;1
4;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2007";".rtf";"9000";40;1
4;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2007";".rtf";"10000";44;1
4;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2007";".rtf";"20000";53;1
4;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2007";".rtf";"30000";64;1
4;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2007";".rtf";"40000";72;1
4;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2007";".rtf";"50000";84;1
4;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2007";".rtf";"60000";96;1
4;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2007";".rtf";"70000";104;1
4;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2007";".rtf";"80000";116;1
4;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2007";".rtf";"90000";128;1
4;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2007";".rtf";"100000";136;1
4;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2007";".rtf";"200000";236;1
4;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2007";".rtf";"300000";332;1
4;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2007";".rtf";"400000";432;1
4;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2007";".rtf";"500000";532;1
4;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2007";".rtf";"600000";628;1
4;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2007";".rtf";"700000";728;1
4;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2007";".rtf";"800000";824;1
4;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2007";".rtf";"900000";924;1
4;"Escritorio";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2007";".rtf";"1000000";1024;1
5;"Portátil";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".docx";"1000";16;1
5;"Portátil";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".docx";"2000";16;1
5;"Portátil";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".docx";"3000";16;1
5;"Portátil";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".docx";"4000";16;1
5;"Portátil";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".docx";"5000";16;1
5;"Portátil";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".docx";"6000";16;1
5;"Portátil";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".docx";"7000";16;1
5;"Portátil";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".docx";"8000";16;1
5;"Portátil";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".docx";"9000";16;1
5;"Portátil";"Win 7";"64 bits";"NTFS";"Microsoft Word";"2010";".docx";"10000";16;1
