INTEGRANTE;TIPOEQUIPO;SO;TIPOSO;FORMATODD;PROCESADORTEXTO;VERSIONPROCESADOR;FORMATO;NUMLETRA;TAMAÑOARCHIVODISCO;TAMAÑOARCHIVO
1;portatil;windows 7 ultimate;64 bits;ntfs;word;2010;.docx;1000;16;12.4
1;portatil;windows 7 ultimate;64 bits;ntfs;word;2010;.docx;2000;16;12.4
1;portatil;windows 7 ultimate;64 bits;ntfs;word;2010;.docx;3000;16;12.5
1;portatil;windows 7 ultimate;64 bits;ntfs;word;2010;.docx;4000;16;12.6
1;portatil;windows 7 ultimate;64 bits;ntfs;word;2010;.docx;5000;16;12.6
1;portatil;windows 7 ultimate;64 bits;ntfs;word;2010;.docx;6000;16;12.6
1;portatil;windows 7 ultimate;64 bits;ntfs;word;2010;.docx;7000;16;12.7
1;portatil;windows 7 ultimate;64 bits;ntfs;word;2010;.docx;8000;16;12.7
1;portatil;windows 7 ultimate;64 bits;ntfs;word;2010;.docx;9000;16;12.8
1;portatil;windows 7 ultimate;64 bits;ntfs;word;2010;.docx;10000;16;12.8
1;portatil;windows 7 ultimate;64 bits;ntfs;word;2010;.docx;20000;16;12.9
1;portatil;windows 7 ultimate;64 bits;ntfs;word;2010;.docx;30000;16;13
1;portatil;windows 7 ultimate;64 bits;ntfs;word;2010;.docx;40000;16;13.2
1;portatil;windows 7 ultimate;64 bits;ntfs;word;2010;.docx;50000;16;13.4
1;portatil;windows 7 ultimate;64 bits;ntfs;word;2010;.docx;60000;16;13.6
1;portatil;windows 7 ultimate;64 bits;ntfs;word;2010;.docx;70000;16;13.7
1;portatil;windows 7 ultimate;64 bits;ntfs;word;2010;.docx;80000;16;13.8
1;portatil;windows 7 ultimate;64 bits;ntfs;word;2010;.docx;90000;16;13.9
1;portatil;windows 7 ultimate;64 bits;ntfs;word;2010;.docx;100000;16;14.1
1;portatil;windows 7 ultimate;64 bits;ntfs;word;2010;.docx;200000;16;14.7
1;portatil;windows 7 ultimate;64 bits;ntfs;word;2010;.docx;300000;16;15.4
1;portatil;windows 7 ultimate;64 bits;ntfs;word;2010;.docx;400000;20;16.1
1;portatil;windows 7 ultimate;64 bits;ntfs;word;2010;.docx;500000;20;16.8
1;portatil;windows 7 ultimate;64 bits;ntfs;word;2010;.docx;600000;20;17.5
1;portatil;windows 7 ultimate;64 bits;ntfs;word;2010;.docx;700000;20;18.2
1;portatil;windows 7 ultimate;64 bits;ntfs;word;2010;.docx;800000;20;18.9
1;portatil;windows 7 ultimate;64 bits;ntfs;word;2010;.docx;900000;20;19.6
1;portatil;windows 7 ultimate;64 bits;ntfs;word;2010;.docx;1000000;24;20.2
2;portatil;windows 8;64 bits;ntfs;word;2007;.doc;1000;28;26
2;portatil;windows 8;64 bits;ntfs;word;2007;.doc;2000;28;27
2;portatil;windows 8;64 bits;ntfs;word;2007;.doc;3000;28;28
2;portatil;windows 8;64 bits;ntfs;word;2007;.doc;4000;32;29
2;portatil;windows 8;64 bits;ntfs;word;2007;.doc;5000;32;29.5
2;portatil;windows 8;64 bits;ntfs;word;2007;.doc;6000;32;30.5
2;portatil;windows 8;64 bits;ntfs;word;2007;.doc;7000;32;31.5
2;portatil;windows 8;64 bits;ntfs;word;2007;.doc;8000;36;32.5
2;portatil;windows 8;64 bits;ntfs;word;2007;.doc;9000;36;33
2;portatil;windows 8;64 bits;ntfs;word;2007;.doc;10000;36;34
2;portatil;windows 8;64 bits;ntfs;word;2007;.doc;20000;44;43
2;portatil;windows 8;64 bits;ntfs;word;2007;.doc;30000;52;51.5
2;portatil;windows 8;64 bits;ntfs;word;2007;.doc;40000;64;61
2;portatil;windows 8;64 bits;ntfs;word;2007;.doc;50000;72;70
2;portatil;windows 8;64 bits;ntfs;word;2007;.doc;60000;80;79
2;portatil;windows 8;64 bits;ntfs;word;2007;.doc;70000;88;88
2;portatil;windows 8;64 bits;ntfs;word;2007;.doc;80000;100;96.5
2;portatil;windows 8;64 bits;ntfs;word;2007;.doc;90000;108;105
2;portatil;windows 8;64 bits;ntfs;word;2007;.doc;100000;116;114
2;portatil;windows 8;64 bits;ntfs;word;2007;.doc;200000;204;203
2;portatil;windows 8;64 bits;ntfs;word;2007;.doc;300000;292;292
2;portatil;windows 8;64 bits;ntfs;word;2007;.doc;400000;384;381
2;portatil;windows 8;64 bits;ntfs;word;2007;.doc;500000;472;470
2;portatil;windows 8;64 bits;ntfs;word;2007;.doc;600000;560;559
2;portatil;windows 8;64 bits;ntfs;word;2007;.doc;700000;648;648
2;portatil;windows 8;64 bits;ntfs;word;2007;.doc;800000;740;737
2;portatil;windows 8;64 bits;ntfs;word;2007;.doc;900000;828;825
2;portatil;windows 8;64 bits;ntfs;word;2007;.doc;1000000;916;914
3;escritorio;windows 7 professional;64 bits;ntfs;word;2010;.doc;1000;24;22
3;escritorio;windows 7 professional;64 bits;ntfs;word;2010;.doc;2000;24;23
3;escritorio;windows 7 professional;64 bits;ntfs;word;2010;.doc;3000;24;24
3;escritorio;windows 7 professional;64 bits;ntfs;word;2010;.doc;4000;28;25
3;escritorio;windows 7 professional;64 bits;ntfs;word;2010;.doc;5000;28;26
3;escritorio;windows 7 professional;64 bits;ntfs;word;2010;.doc;6000;28;27
3;escritorio;windows 7 professional;64 bits;ntfs;word;2010;.doc;7000;28;28
3;escritorio;windows 7 professional;64 bits;ntfs;word;2010;.doc;8000;32;29
3;escritorio;windows 7 professional;64 bits;ntfs;word;2010;.doc;9000;32;30
3;escritorio;windows 7 professional;64 bits;ntfs;word;2010;.doc;10000;32;31
3;escritorio;windows 7 professional;64 bits;ntfs;word;2010;.doc;20000;44;41
3;escritorio;windows 7 professional;64 bits;ntfs;word;2010;.doc;30000;52;50.5
3;escritorio;windows 7 professional;64 bits;ntfs;word;2010;.doc;40000;64;60.5
3;escritorio;windows 7 professional;64 bits;ntfs;word;2010;.doc;50000;72;70.5
3;escritorio;windows 7 professional;64 bits;ntfs;word;2010;.doc;60000;84;80.5
3;escritorio;windows 7 professional;64 bits;ntfs;word;2010;.doc;70000;92;90
3;escritorio;windows 7 professional;64 bits;ntfs;word;2010;.doc;80000;100;100
3;escritorio;windows 7 professional;64 bits;ntfs;word;2010;.doc;90000;112;109
3;escritorio;windows 7 professional;64 bits;ntfs;word;2010;.doc;100000;120;119
3;escritorio;windows 7 professional;64 bits;ntfs;word;2010;.doc;200000;220;218
3;escritorio;windows 7 professional;64 bits;ntfs;word;2010;.doc;300000;316;316
3;escritorio;windows 7 professional;64 bits;ntfs;word;2010;.doc;400000;416;415
3;escritorio;windows 7 professional;64 bits;ntfs;word;2010;.doc;500000;516;513
3;escritorio;windows 7 professional;64 bits;ntfs;word;2010;.doc;600000;612;611
3;escritorio;windows 7 professional;64 bits;ntfs;word;2010;.doc;700000;712;710
3;escritorio;windows 7 professional;64 bits;ntfs;word;2010;.doc;800000;812;808
3;escritorio;windows 7 professional;64 bits;ntfs;word;2010;.doc;900000;908;907
3;escritorio;windows 7 professional;64 bits;ntfs;word;2010;.doc;1000000;980;980
4;escritorio;windows 7;64 bits;ntfs;word;2007;.rtf;1000;32;32
4;escritorio;windows 7;64 bits;ntfs;word;2007;.rtf;2000;36;33
4;escritorio;windows 7;64 bits;ntfs;word;2007;.rtf;3000;36;34
4;escritorio;windows 7;64 bits;ntfs;word;2007;.rtf;4000;36;35
4;escritorio;windows 7;64 bits;ntfs;word;2007;.rtf;5000;36;36
4;escritorio;windows 7;64 bits;ntfs;word;2007;.rtf;6000;40;37
4;escritorio;windows 7;64 bits;ntfs;word;2007;.rtf;7000;40;38
4;escritorio;windows 7;64 bits;ntfs;word;2007;.rtf;8000;40;39
4;escritorio;windows 7;64 bits;ntfs;word;2007;.rtf;9000;40;40
4;escritorio;windows 7;64 bits;ntfs;word;2007;.rtf;10000;44;41
4;escritorio;windows 7;64 bits;ntfs;word;2007;.rtf;20000;53;51
4;escritorio;windows 7;64 bits;ntfs;word;2007;.rtf;30000;64;61
4;escritorio;windows 7;64 bits;ntfs;word;2007;.rtf;40000;72;71
4;escritorio;windows 7;64 bits;ntfs;word;2007;.rtf;50000;84;81
4;escritorio;windows 7;64 bits;ntfs;word;2007;.rtf;60000;96;95
4;escritorio;windows 7;64 bits;ntfs;word;2007;.rtf;70000;104;105
4;escritorio;windows 7;64 bits;ntfs;word;2007;.rtf;80000;116;115
4;escritorio;windows 7;64 bits;ntfs;word;2007;.rtf;90000;128;125
4;escritorio;windows 7;64 bits;ntfs;word;2007;.rtf;100000;136;135
4;escritorio;windows 7;64 bits;ntfs;word;2007;.rtf;200000;236;233
4;escritorio;windows 7;64 bits;ntfs;word;2007;.rtf;300000;332;332
4;escritorio;windows 7;64 bits;ntfs;word;2007;.rtf;400000;432;429
4;escritorio;windows 7;64 bits;ntfs;word;2007;.rtf;500000;532;529
4;escritorio;windows 7;64 bits;ntfs;word;2007;.rtf;600000;628;626
4;escritorio;windows 7;64 bits;ntfs;word;2007;.rtf;700000;728;725
4;escritorio;windows 7;64 bits;ntfs;word;2007;.rtf;800000;824;823
4;escritorio;windows 7;64 bits;ntfs;word;2007;.rtf;900000;924;922
4;escritorio;windows 7;64 bits;ntfs;word;2007;.rtf;1000000;1024;1021
5;portatil;windows 7 home basic;64 bits;ntfs;word;2010;.docx;1000;16;12,4
5;portatil;windows 7 home basic;64 bits;ntfs;word;2010;.docx;2000;16;12,5
5;portatil;windows 7 home basic;64 bits;ntfs;word;2010;.docx;3000;16;12,5
5;portatil;windows 7 home basic;64 bits;ntfs;word;2010;.docx;4000;16;12,5
5;portatil;windows 7 home basic;64 bits;ntfs;word;2010;.docx;5000;16;12,5
5;portatil;windows 7 home basic;64 bits;ntfs;word;2010;.docx;6000;16;12,5
5;portatil;windows 7 home basic;64 bits;ntfs;word;2010;.docx;7000;16;12,6
5;portatil;windows 7 home basic;64 bits;ntfs;word;2010;.docx;8000;16;12,6
5;portatil;windows 7 home basic;64 bits;ntfs;word;2010;.docx;9000;16;12,7
5;portatil;windows 7 home basic;64 bits;ntfs;word;2010;.docx;10000;16;12,7
5;portatil;windows 7 home basic;64 bits;ntfs;word;2010;.docx;20000;16;12,8
