Integrante;TipoEquipo;SO;TipoSO;FormatoDD;ProcesaTexto;VersionProcesa;Formato;Numletrasa;TamañoArchivo (KB);;;;;
1;escritorio;windows 7;64 bits;NTFS;Microsoft Office Word;2007;doc;1000;28;;;;;
1;escritorio;windows 7;64 bits;NTFS;Microsoft Office Word;2007;doc;2000;28;;;;;
1;escritorio;windows 7;64 bits;NTFS;Microsoft Office Word;2007;doc;3000;28;;;;;
1;escritorio;windows 7;64 bits;NTFS;Microsoft Office Word;2007;doc;4000;32;;;;;
1;escritorio;windows 7;64 bits;NTFS;Microsoft Office Word;2007;doc;5000;32;;;;;
1;escritorio;windows 7;64 bits;NTFS;Microsoft Office Word;2007;doc;6000;32;;;;;
1;escritorio;windows 7;64 bits;NTFS;Microsoft Office Word;2007;doc;7000;32;;;;;
1;escritorio;windows 7;64 bits;NTFS;Microsoft Office Word;2007;doc;8000;36;;;;;
1;escritorio;windows 7;64 bits;NTFS;Microsoft Office Word;2007;doc;9000;36;;;;;
1;escritorio;windows 7;64 bits;NTFS;Microsoft Office Word;2007;doc;10000;36;;;;;
1;escritorio;windows 7;64 bits;NTFS;Microsoft Office Word;2007;doc;20000;48;;;;;
1;escritorio;windows 7;64 bits;NTFS;Microsoft Office Word;2007;doc;30000;56;;;;;
1;escritorio;windows 7;64 bits;NTFS;Microsoft Office Word;2007;doc;40000;68;;;;;
1;escritorio;windows 7;64 bits;NTFS;Microsoft Office Word;2007;doc;50000;76;;;;;
1;escritorio;windows 7;64 bits;NTFS;Microsoft Office Word;2007;doc;60000;88;;;;;
1;escritorio;windows 7;64 bits;NTFS;Microsoft Office Word;2007;doc;70000;96;;;;;
1;escritorio;windows 7;64 bits;NTFS;Microsoft Office Word;2007;doc;80000;104;;;;;
1;escritorio;windows 7;64 bits;NTFS;Microsoft Office Word;2007;doc;90000;116;;;;;
1;escritorio;windows 7;64 bits;NTFS;Microsoft Office Word;2007;doc;100000;124;;;;;
2;portatil;windows xp;64 bits;NTFS;Microsoft Office Word;2007;docx;1000;12;;;;;
2;portatil;windows xp;64 bits;NTFS;Microsoft Office Word;2007;docx;2000;12;;;;;
2;portatil;windows xp;64 bits;NTFS;Microsoft Office Word;2007;docx;3000;12;;;;;
2;portatil;windows xp;64 bits;NTFS;Microsoft Office Word;2007;docx;4000;12;;;;;
2;portatil;windows xp;64 bits;NTFS;Microsoft Office Word;2007;docx;5000;12;;;;;
2;portatil;windows xp;64 bits;NTFS;Microsoft Office Word;2007;docx;6000;12;;;;;
2;portatil;windows xp;64 bits;NTFS;Microsoft Office Word;2007;docx;7000;12;;;;;
2;portatil;windows xp;64 bits;NTFS;Microsoft Office Word;2007;docx;8000;12;;;;;
2;portatil;windows xp;64 bits;NTFS;Microsoft Office Word;2007;docx;9000;12;;;;;
2;portatil;windows xp;64 bits;NTFS;Microsoft Office Word;2007;docx;10000;12;;;;;
2;portatil;windows xp;64 bits;NTFS;Microsoft Office Word;2007;docx;20000;12;;;;;
2;portatil;windows xp;64 bits;NTFS;Microsoft Office Word;2007;docx;30000;12;;;;;
2;portatil;windows xp;64 bits;NTFS;Microsoft Office Word;2007;docx;40000;12;;;;;
2;portatil;windows xp;64 bits;NTFS;Microsoft Office Word;2007;docx;50000;12;;;;;
2;portatil;windows xp;64 bits;NTFS;Microsoft Office Word;2007;docx;60000;12;;;;;
2;portatil;windows xp;64 bits;NTFS;Microsoft Office Word;2007;docx;70000;12;;;;;
2;portatil;windows xp;64 bits;NTFS;Microsoft Office Word;2007;docx;80000;12;;;;;
2;portatil;windows xp;64 bits;NTFS;Microsoft Office Word;2007;docx;90000;12;;;;;
2;portatil;windows xp;64 bits;NTFS;Microsoft Office Word;2007;docx;100000;12;;;;;
