integrante;TipoEquipo;SO;ServicePack;TipoSO;FormatoDD;ProcesaTexto;VersionProcesa;Formato;NumLetrasa;TamañoArchivo;;;;;
1;Escritorio;Windows XP Professional; Service Pack 3;32 bits;NTFS;Microsoft Word;2010;doc 97-2003;1000;24;;;;;
1;Escritorio;Windows XP Professional;Service Pack 3;32 bits;NTFS;Microsoft Word;2010;doc 97-2003;2000;24;;;;;
1;Escritorio;Windows XP Professional;Service Pack 3;32 bits;NTFS;Microsoft Word;2010;doc 97-2003;3000;24;;;;;
1;Escritorio;Windows XP Professional;Service Pack 3;32 bits;NTFS;Microsoft Word;2010;doc 97-2003;4000;28;;;;;
1;Escritorio;Windows XP Professional;Service Pack 3;32 bits;NTFS;Microsoft Word;2010;doc 97-2003;5000;28;;;;;
1;Escritorio;Windows XP Professional;Service Pack 3;32 bits;NTFS;Microsoft Word;2010;doc 97-2003;6000;28;;;;;
1;Escritorio;Windows XP Professional;Service Pack 3;32 bits;NTFS;Microsoft Word;2010;doc 97-2003;7000;28;;;;;
1;Escritorio;Windows XP Professional;Service Pack 3;32 bits;NTFS;Microsoft Word;2010;doc 97-2003;8000;30;;;;;
1;Escritorio;Windows XP Professional;Service Pack 3;32 bits;NTFS;Microsoft Word;2010;doc 97-2003;9000;32;;;;;
1;Escritorio;Windows XP Professional;Service Pack 3;32 bits;NTFS;Microsoft Word;2010;doc 97-2003;10000;32;;;;;
1;Escritorio;Windows XP Professional;Service Pack 3;32 bits;NTFS;Microsoft Word;2010;doc 97-2003;20000;44;;;;;
1;Escritorio;Windows XP Professional;Service Pack 3;32 bits;NTFS;Microsoft Word;2010;doc 97-2003;30000;52;;;;;
1;Escritorio;Windows XP Professional;Service Pack 3;32 bits;NTFS;Microsoft Word;2010;doc 97-2003;40000;64;;;;;
1;Escritorio;Windows XP Professional;Service Pack 3;32 bits;NTFS;Microsoft Word;2010;doc 97-2003;50000;72;;;;;
1;Escritorio;Windows XP Professional;Service Pack 3;32 bits;NTFS;Microsoft Word;2010;doc 97-2003;60000;84;;;;;
1;Escritorio;Windows XP Professional;Service Pack 3;32 bits;NTFS;Microsoft Word;2010;doc 97-2003;70000;92;;;;;
1;Escritorio;Windows XP Professional;Service Pack 3;32 bits;NTFS;Microsoft Word;2010;doc 97-2003;80000;100;;;;;
1;Escritorio;Windows XP Professional;Service Pack 3;32 bits;NTFS;Microsoft Word;2010;doc 97-2003;90000;112;;;;;
1;Escritorio;Windows XP Professional;Service Pack 3;32 bits;NTFS;Microsoft Word;2010;doc 97-2003;100000;120;;;;;
2;Portatil;Windows 7 Home Basic; Service Pack 1;64 bits;NTFS;Microsoft Word;2010;odt;1000;24;;;;;
2;Portatil;Windows 7 Home Basic; Service Pack 1;64 bits;NTFS;Microsoft Word;2010;odt;2000;24;;;;;
2;Portatil;Windows 7 Home Basic; Service Pack 1;64 bits;NTFS;Microsoft Word;2010;odt;3000;24;;;;;
2;Portatil;Windows 7 Home Basic; Service Pack 1;64 bits;NTFS;Microsoft Word;2010;odt;4000;28;;;;;
2;Portatil;Windows 7 Home Basic; Service Pack 1;64 bits;NTFS;Microsoft Word;2010;odt;5000;28;;;;;
2;Portatil;Windows 7 Home Basic; Service Pack 1;64 bits;NTFS;Microsoft Word;2010;odt;6000;28;;;;;
2;Portatil;Windows 7 Home Basic; Service Pack 1;64 bits;NTFS;Microsoft Word;2010;odt;7000;28;;;;;
2;Portatil;Windows 7 Home Basic; Service Pack 1;64 bits;NTFS;Microsoft Word;2010;odt;8000;30;;;;;
2;Portatil;Windows 7 Home Basic; Service Pack 1;64 bits;NTFS;Microsoft Word;2010;odt;9000;32;;;;;
2;Portatil;Windows 7 Home Basic; Service Pack 1;64 bits;NTFS;Microsoft Word;2010;odt;10000;32;;;;;
2;Portatil;Windows 7 Home Basic; Service Pack 1;64 bits;NTFS;Microsoft Word;2010;odt;20000;44;;;;;
2;Portatil;Windows 7 Home Basic; Service Pack 1;64 bits;NTFS;Microsoft Word;2010;odt;30000;52;;;;;
2;Portatil;Windows 7 Home Basic; Service Pack 1;64 bits;NTFS;Microsoft Word;2010;odt;40000;64;;;;;
2;Portatil;Windows 7 Home Basic; Service Pack 1;64 bits;NTFS;Microsoft Word;2010;odt;50000;72;;;;;
2;Portatil;Windows 7 Home Basic; Service Pack 1;64 bits;NTFS;Microsoft Word;2010;odt;60000;84;;;;;
2;Portatil;Windows 7 Home Basic; Service Pack 1;64 bits;NTFS;Microsoft Word;2010;odt;70000;92;;;;;
