Integrante;TipoEquipo;SO;TipoSO;FormatoDD;ProcesaTexto;VersionProcesa;Formato;NumLetrasa;TamanoArchivo
1;Escritorio;Windows 7;32;NTFS;Microsoft Word;2010;docx;1000;16
1;Escritorio;Windows 7;32;NTFS;Microsoft Word;2010;docx;2000;16
1;Escritorio;Windows 7;32;NTFS;Microsoft Word;2010;docx;3000;16
1;Escritorio;Windows 7;32;NTFS;Microsoft Word;2010;docx;4000;16
1;Escritorio;Windows 7;32;NTFS;Microsoft Word;2010;docx;5000;16
1;Escritorio;Windows 7;32;NTFS;Microsoft Word;2010;docx;6000;16
1;Escritorio;Windows 7;32;NTFS;Microsoft Word;2010;docx;7000;16
1;Escritorio;Windows 7;32;NTFS;Microsoft Word;2010;docx;8000;16
1;Escritorio;Windows 7;32;NTFS;Microsoft Word;2010;docx;9000;16
1;Escritorio;Windows 7;32;NTFS;Microsoft Word;2010;docx;10000;16
1;Escritorio;Windows 7;32;NTFS;Microsoft Word;2010;docx;20000;16
1;Escritorio;Windows 7;32;NTFS;Microsoft Word;2010;docx;30000;16
1;Escritorio;Windows 7;32;NTFS;Microsoft Word;2010;docx;40000;16
1;Escritorio;Windows 7;32;NTFS;Microsoft Word;2010;docx;50000;16
1;Escritorio;Windows 7;32;NTFS;Microsoft Word;2010;docx;60000;16
1;Escritorio;Windows 7;32;NTFS;Microsoft Word;2010;docx;70000;16
1;Escritorio;Windows 7;32;NTFS;Microsoft Word;2010;docx;80000;16
1;Escritorio;Windows 7;32;NTFS;Microsoft Word;2010;docx;90000;16
1;Escritorio;Windows 7;32;NTFS;Microsoft Word;2010;docx;100000;16
2;Portátil;Windows 8;32;NTFS;AbiWord;2,8,6;abw;1000;4
2;Portátil;Windows 8;32;NTFS;AbiWord;2,8,6;abw;2000;8
2;Portátil;Windows 8;32;NTFS;AbiWord;2,8,6;abw;3000;8
2;Portátil;Windows 8;32;NTFS;AbiWord;2,8,6;abw;4000;8
2;Portátil;Windows 8;32;NTFS;AbiWord;2,8,6;abw;5000;8
2;Portátil;Windows 8;32;NTFS;AbiWord;2,8,6;abw;6000;12
2;Portátil;Windows 8;32;NTFS;AbiWord;2,8,6;abw;7000;16
2;Portátil;Windows 8;32;NTFS;AbiWord;2,8,6;abw;8000;20
2;Portátil;Windows 8;32;NTFS;AbiWord;2,8,6;abw;9000;24
2;Portátil;Windows 8;32;NTFS;AbiWord;2,8,6;abw;10000;16
2;Portátil;Windows 8;32;NTFS;AbiWord;2,8,6;abw;20000;24
2;Portátil;Windows 8;32;NTFS;AbiWord;2,8,6;abw;30000;36
2;Portátil;Windows 8;32;NTFS;AbiWord;2,8,6;abw;40000;44
2;Portátil;Windows 8;32;NTFS;AbiWord;2,8,6;abw;50000;56
2;Portátil;Windows 8;32;NTFS;AbiWord;2,8,6;abw;60000;64
2;Portátil;Windows 8;32;NTFS;AbiWord;2,8,6;abw;70000;72
2;Portátil;Windows 8;32;NTFS;AbiWord;2,8,6;abw;80000;84
2;Portátil;Windows 8;32;NTFS;AbiWord;2,8,6;abw;90000;92
2;Portátil;Windows 8;32;NTFS;AbiWord;2,8,6;abw;100000;104
3;Escritorio;Windows 7;32;NTFS;Microsoft Word;2007;pdf;1000;80
3;Escritorio;Windows7;32;NTFS;Microsoft Word;2007;pdf;2000;80
