Integrante;TipoEquipo;SO;TipoSO;FormatoDD;ProcesaTexto;VersionProcesa;Formato;NumLetrasa;TamañoArchivo
1;Escritorio;Windows 7;32;NTFS;Word;2010;.doc;1000;24
1;Escritorio;Windows 7;32;NTFS;Word;2010;.doc;2000;24
1;Escritorio;Windows 7;32;NTFS;Word;2010;.doc;3000;24
1;Escritorio;Windows 7;32;NTFS;Word;2010;.doc;4000;28
1;Escritorio;Windows 7;32;NTFS;Word;2010;.doc;5000;28
1;Escritorio;Windows 7;32;NTFS;Word;2010;.doc;6000;28
1;Escritorio;Windows 7;32;NTFS;Word;2010;.doc;7000;28
1;Escritorio;Windows 7;32;NTFS;Word;2010;.doc;8000;32
1;Escritorio;Windows 7;32;NTFS;Word;2010;.doc;9000;32
1;Escritorio;Windows 7;32;NTFS;Word;2010;.doc;10000;32
1;Escritorio;Windows 7;32;NTFS;Word;2010;.doc;20000;44
1;Escritorio;Windows 7;32;NTFS;Word;2010;.doc;30000;52
1;Escritorio;Windows 7;32;NTFS;Word;2010;.doc;40000;64
1;Escritorio;Windows 7;32;NTFS;Word;2010;.doc;50000;72
1;Escritorio;Windows 7;32;NTFS;Word;2010;.doc;60000;84
1;Escritorio;Windows 7;32;NTFS;Word;2010;.doc;70000;92
1;Escritorio;Windows 7;32;NTFS;Word;2010;.doc;80000;100
1;Escritorio;Windows 7;32;NTFS;Word;2010;.doc;90000;112
1;Escritorio;Windows 7;32;NTFS;Word;2010;.doc;100000;120
2;Escritorio;Windows 7;32;NTFS;Word;2010;.xml;1000;32
2;Escritorio;Windows 7;32;NTFS;Word;2010;.xml;2000;36
2;Escritorio;Windows 7;32;NTFS;Word;2010;.xml;3000;36
2;Escritorio;Windows 7;32;NTFS;Word;2010;.xml;4000;36
2;Escritorio;Windows 7;32;NTFS;Word;2010;.xml;5000;40
2;Escritorio;Windows 7;32;NTFS;Word;2010;.xml;6000;40
2;Escritorio;Windows 7;32;NTFS;Word;2010;.xml;7000;40
2;Escritorio;Windows 7;32;NTFS;Word;2010;.xml;8000;40
2;Escritorio;Windows 7;32;NTFS;Word;2010;.xml;9000;44
2;Escritorio;Windows 7;32;NTFS;Word;2010;.xml;10000;44
2;Escritorio;Windows 7;32;NTFS;Word;2010;.xml;20000;52
2;Escritorio;Windows 7;32;NTFS;Word;2010;.xml;30000;64
2;Escritorio;Windows 7;32;NTFS;Word;2010;.xml;40000;72
2;Escritorio;Windows 7;32;NTFS;Word;2010;.xml;50000;84
2;Escritorio;Windows 7;32;NTFS;Word;2010;.xml;60000;92
2;Escritorio;Windows 7;32;NTFS;Word;2010;.xml;70000;104
2;Escritorio;Windows 7;32;NTFS;Word;2010;.xml;80000;112
2;Escritorio;Windows 7;32;NTFS;Word;2010;.xml;90000;124
2;Escritorio;Windows 7;32;NTFS;Word;2010;.xml;100000;132
3;Portatil;Windows 7;32;NTFS;Word;2007;.docx;1000;10
3;Portatil;Windows 7;32;NTFS;Word;2007;.docx;2000;10
3;Portatil;Windows 7;32;NTFS;Word;2007;.docx;3000;10
3;Portatil;Windows 7;32;NTFS;Word;2007;.docx;4000;10
3;Portatil;Windows 7;32;NTFS;Word;2007;.docx;5000;10
3;Portatil;Windows 7;32;NTFS;Word;2007;.docx;6000;10
3;Portatil;Windows 7;32;NTFS;Word;2007;.docx;7000;10
3;Portatil;Windows 7;32;NTFS;Word;2007;.docx;8000;10
3;Portatil;Windows 7;32;NTFS;Word;2007;.docx;9000;10
3;Portatil;Windows 7;32;NTFS;Word;2007;.docx;10000;10
3;Portatil;Windows 7;32;NTFS;Word;2007;.docx;20000;10
3;Portatil;Windows 7;32;NTFS;Word;2007;.docx;30000;10
3;Portatil;Windows 7;32;NTFS;Word;2007;.docx;40000;11
3;Portatil;Windows 7;32;NTFS;Word;2007;.docx;50000;11
3;Portatil;Windows 7;32;NTFS;Word;2007;.docx;60000;11
3;Portatil;Windows 7;32;NTFS;Word;2007;.docx;70000;11
3;Portatil;Windows 7;32;NTFS;Word;2007;.docx;80000;11
3;Portatil;Windows 7;32;NTFS;Word;2007;.docx;90000;11
3;Portatil;Windows 7;32;NTFS;Word;2007;.docx;100000;11
4;Portatil;Windows 7;32;NTFS;Word;2007;.rtf;1000;32
4;Portatil;Windows 7;32;NTFS;Word;2007;.rtf;2000;36
4;Portatil;Windows 7;32;NTFS;Word;2007;.rtf;3000;36
4;Portatil;Windows 7;32;NTFS;Word;2007;.rtf;4000;36
4;Portatil;Windows 7;32;NTFS;Word;2007;.rtf;5000;40
4;Portatil;Windows 7;32;NTFS;Word;2007;.rtf;6000;40
4;Portatil;Windows 7;32;NTFS;Word;2007;.rtf;7000;40
4;Portatil;Windows 7;32;NTFS;Word;2007;.rtf;8000;44
4;Portatil;Windows 7;32;NTFS;Word;2007;.rtf;9000;44
4;Portatil;Windows 7;32;NTFS;Word;2007;.rtf;10000;44
4;Portatil;Windows 7;32;NTFS;Word;2007;.rtf;20000;56
4;Portatil;Windows 7;32;NTFS;Word;2007;.rtf;30000;64
4;Portatil;Windows 7;32;NTFS;Word;2007;.rtf;40000;76
4;Portatil;Windows 7;32;NTFS;Word;2007;.rtf;50000;88
4;Portatil;Windows 7;32;NTFS;Word;2007;.rtf;60000;96
4;Portatil;Windows 7;32;NTFS;Word;2007;.rtf;70000;108
4;Portatil;Windows 7;32;NTFS;Word;2007;.rtf;80000;116
4;Portatil;Windows 7;32;NTFS;Word;2007;.rtf;90000;128
4;Portatil;Windows 7;32;NTFS;Word;2007;.rtf;100000;136
