Integrante,TipoEquipo,So,TipoSo,FormatoDD,Procesa Texto,VersionProcesa,Formato,NumLetrasa,TamañoDisco(Kb)
1,Portatil,Windows 7,64,NTFS,Word,2010,Doc,1000,24
1,Portatil,Windows 7,64,NTFS,Word,2010,Doc,2000,24
1,Portatil,Windows 7,64,NTFS,Word,2010,Doc,3000,24
1,Portatil,Windows 7,64,NTFS,Word,2010,Doc,4000,28
1,Portatil,Windows 7,64,NTFS,Word,2010,Doc,5000,28
1,Portatil,Windows 7,64,NTFS,Word,2010,Doc,6000,28
1,Portatil,Windows 7,64,NTFS,Word,2010,Doc,7000,28
1,Portatil,Windows 7,64,NTFS,Word,2010,Doc,8000,32
1,Portatil,Windows 7,64,NTFS,Word,2010,Doc,9000,32
1,Portatil,Windows 7,64,NTFS,Word,2010,Doc,10000,32
1,Portatil,Windows 7,64,NTFS,Word,2010,Doc,20000,44
1,Portatil,Windows 7,64,NTFS,Word,2010,Doc,30000,52
1,Portatil,Windows 7,64,NTFS,Word,2010,Doc,40000,64
1,Portatil,Windows 7,64,NTFS,Word,2010,Doc,50000,72
1,Portatil,Windows 7,64,NTFS,Word,2010,Doc,60000,84
1,Portatil,Windows 7,64,NTFS,Word,2010,Doc,70000,92
1,Portatil,Windows 7,64,NTFS,Word,2010,Doc,80000,104
1,Portatil,Windows 7,64,NTFS,Word,2010,Doc,90000,112
1,Portatil,Windows 7,64,NTFS,Word,2010,Doc,100000,124
2,Portatil,Windows 8,64,NTFS,Word,2010,Doc,1000,24
2,Portatil,Windows 8,64,NTFS,Word,2010,Doc,2000,24
2,Portatil,Windows 8,64,NTFS,Word,2010,Doc,3000,24
2,Portatil,Windows 8,64,NTFS,Word,2010,Doc,4000,28
2,Portatil,Windows 8,64,NTFS,Word,2010,Doc,5000,28
2,Portatil,Windows 8,64,NTFS,Word,2010,Doc,6000,28
2,Portatil,Windows 8,64,NTFS,Word,2010,Doc,7000,28
2,Portatil,Windows 8,64,NTFS,Word,2010,Doc,8000,32
2,Portatil,Windows 8,64,NTFS,Word,2010,Doc,9000,32
2,Portatil,Windows 8,64,NTFS,Word,2010,Doc,10000,32
2,Portatil,Windows 8,64,NTFS,Word,2010,Doc,20000,44
2,Portatil,Windows 8,64,NTFS,Word,2010,Doc,30000,52
2,Portatil,Windows 8,64,NTFS,Word,2010,Doc,40000,64
2,Portatil,Windows 8,64,NTFS,Word,2010,Doc,50000,73
2,Portatil,Windows 8,64,NTFS,Word,2010,Doc,60000,84
2,Portatil,Windows 8,64,NTFS,Word,2010,Doc,70000,92
2,Portatil,Windows 8,64,NTFS,Word,2010,Doc,80000,100
2,Portatil,Windows 8,64,NTFS,Word,2010,Doc,90000,112
2,Portatil,Windows 8,64,NTFS,Word,2010,Doc,100000,120
