Integrante;TipoEquipo;SO;TipoSO;FormatoDD;ProcesaTexto;VersionProcesa;Formato;Numletrasa;TamañoArchivo;;
1;Portatil;Windows 8;32 bits;NTFS;Microsoft Word; 2.010 ;Docx; 1.000 ;16 KB;;
2;Portátil;Windows Vista;32 Bits;NTFS;Microsoft Word; 2.007 ;PDF; 1.000 ;48,0 KB;;
3;Portatil;Windows 8;64 bits;NTFS;Microsoft Word; 2.010 ;RTF; 1.000 ;36 KB;;
1;Portatil;Windows 8;32 bits;NTFS;Microsoft Word; 2.010 ;Docx; 2.000 ;16 KB;;
2;Portátil;Windows Vista;32 Bits;NTFS;Microsoft Word; 2.007 ;PDF; 2.000 ;48,0 KB;;
3;Portatil;Windows 8;64 bits;NTFS;Microsoft Word; 2.010 ;RTF; 2.000 ;40 KB;;
1;Portatil;Windows 8;32 bits;NTFS;Microsoft Word; 2.010 ;Docx; 3.000 ;16 KB;;
2;Portátil;Windows Vista;32 Bits;NTFS;Microsoft Word; 2.007 ;PDF; 3.000 ;48,0 KB;;
3;Portatil;Windows 8;64 bits;NTFS;Microsoft Word; 2.010 ;RTF; 3.000 ;40 KB;;
1;Portatil;Windows 8;32 bits;NTFS;Microsoft Word; 2.010 ;Docx; 4.000 ;16 KB;;
2;Portátil;Windows Vista;32 Bits;NTFS;Microsoft Word; 2.007 ;PDF; 4.000 ;48,0 KB;;
3;Portatil;Windows 8;64 bits;NTFS;Microsoft Word; 2.010 ;RTF; 4.000 ;40 KB;;
1;Portatil;Windows 8;32 bits;NTFS;Microsoft Word; 2.010 ;Docx; 5.000 ;16 KB;;
2;Portátil;Windows Vista;32 Bits;NTFS;Microsoft Word; 2.007 ;PDF; 5.000 ;48,0 KB;;
3;Portatil;Windows 8;64 bits;NTFS;Microsoft Word; 2.010 ;RTF; 5.000 ;44 KB;;
1;Portatil;Windows 8;32 bits;NTFS;Microsoft Word; 2.010 ;Docx; 6.000 ;16 KB;;
2;Portátil;Windows Vista;32 Bits;NTFS;Microsoft Word; 2.007 ;PDF; 6.000 ;48,0 KB;;
3;Portatil;Windows 8;64 bits;NTFS;Microsoft Word; 2.010 ;RTF; 6.000 ;44 KB;;
1;Portatil;Windows 8;32 bits;NTFS;Microsoft Word; 2.010 ;Docx; 7.000 ;16 KB;;
