Integrante;TipoEquipo;SO;TipoSO;FormatoDD;ProcesaTexto;VersionProcesa;Formato;NumLetrasa;TamañoArchivoDisco ;TamañoArchivo
1;portatil;windows 8;64 bits;NTFS;LibreOffice;3.6;odt;1000;8;8,27
1;portatil;windows 8;64 bits;NTFS;LibreOffice;3.6;odt;2000;8;8,41
1;portatil;windows 8;64 bits;NTFS;LibreOffice;3.6;odt;3000;8;8,54
1;portatil;windows 8;64 bits;NTFS;LibreOffice;3.6;odt;4000;8;8,65
1;portatil;windows 8;64 bits;NTFS;LibreOffice;3.6;odt;5000;12;8,88
1;portatil;windows 8;64 bits;NTFS;LibreOffice;3.6;odt;6000;12;8,88
1;portatil;windows 8;64 bits;NTFS;LibreOffice;3.6;odt;7000;12;8,94
1;portatil;windows 8;64 bits;NTFS;LibreOffice;3.6;odt;8000;12;8,89
1;portatil;windows 8;64 bits;NTFS;LibreOffice;3.6;odt;9000;12;8,9
1;portatil;windows 8;64 bits;NTFS;LibreOffice;3.6;odt;10000;12;8,91
1;portatil;windows 8;64 bits;NTFS;LibreOffice;3.6;odt;20000;12;8,95
1;portatil;windows 8;64 bits;NTFS;LibreOffice;3.6;odt;30000;12;9
1;portatil;windows 8;64 bits;NTFS;LibreOffice;3.6;odt;40000;12;9,04
1;portatil;windows 8;64 bits;NTFS;LibreOffice;3.6;odt;50000;12;9,07
1;portatil;windows 8;64 bits;NTFS;LibreOffice;3.6;odt;60000;12;9,1
1;portatil;windows 8;64 bits;NTFS;LibreOffice;3.6;odt;70000;12;9,22
1;portatil;windows 8;64 bits;NTFS;LibreOffice;3.6;odt;80000;12;9,25
1;portatil;windows 8;64 bits;NTFS;LibreOffice;3.6;odt;90000;12;9,28
1;portatil;windows 8;64 bits;NTFS;LibreOffice;3.6;odt;100000;12;9,31
2;Escritorio;Windows 7;64 bits;NTFS;TeXnicCenter;2.0;pdf;1000;12;9,27
2;Escritorio;Windows 7;64 bits;NTFS;TeXnicCenter;2.0;pdf;2000;12;9,28
2;Escritorio;Windows 7;64 bits;NTFS;TeXnicCenter;2.0;pdf;3000;12;9,29
2;Escritorio;Windows 7;64 bits;NTFS;TeXnicCenter;2.0;pdf;4000;12;9,3
2;Escritorio;Windows 7;64 bits;NTFS;TeXnicCenter;2.0;pdf;5000;12;9,49
2;Escritorio;Windows 7;64 bits;NTFS;TeXnicCenter;2.0;pdf;6000;12;9,5
2;Escritorio;Windows 7;64 bits;NTFS;TeXnicCenter;2.0;pdf;7000;12;9,51
2;Escritorio;Windows 7;64 bits;NTFS;TeXnicCenter;2.0;pdf;8000;12;9,52
2;Escritorio;Windows 7;64 bits;NTFS;TeXnicCenter;2.0;pdf;9000;12;9,7
2;Escritorio;Windows 7;64 bits;NTFS;TeXnicCenter;2.0;pdf;10000;12;9,73
2;Escritorio;Windows 7;64 bits;NTFS;TeXnicCenter;2.0;pdf;20000;12;10,1
2;Escritorio;Windows 7;64 bits;NTFS;TeXnicCenter;2.0;pdf;30000;12;10,6
2;Escritorio;Windows 7;64 bits;NTFS;TeXnicCenter;2.0;pdf;40000;12;11,1
2;Escritorio;Windows 7;64 bits;NTFS;TeXnicCenter;2.0;pdf;50000;12;11,7
2;Escritorio;Windows 7;64 bits;NTFS;TeXnicCenter;2.0;pdf;60000;16;12,2
2;Escritorio;Windows 7;64 bits;NTFS;TeXnicCenter;2.0;pdf;70000;16;12,7
2;Escritorio;Windows 7;64 bits;NTFS;TeXnicCenter;2.0;pdf;80000;16;13,1
2;Escritorio;Windows 7;64 bits;NTFS;TeXnicCenter;2.0;pdf;90000;16;13,6
2;Escritorio;Windows 7;64 bits;NTFS;TeXnicCenter;2.0;pdf;100000;16;14,2
3;escritorio;wimdows 7;64 bits;NTFS;word;2010;docx;1000;16;12,5
3;escritorio;wimdows 7;64 bits;NTFS;word;2010;docx;2000;16;12,4
3;escritorio;wimdows 7;64 bits;NTFS;word;2010;docx;3000;16;12,4
3;escritorio;wimdows 7;64 bits;NTFS;word;2010;docx;4000;16;12,4
3;escritorio;wimdows 7;64 bits;NTFS;word;2010;docx;5000;16;12,4
3;escritorio;wimdows 7;64 bits;NTFS;word;2010;docx;6000;16;12,4
3;escritorio;wimdows 7;64 bits;NTFS;word;2010;docx;7000;16;12,5
3;escritorio;wimdows 7;64 bits;NTFS;word;2010;docx;8000;16;12,5
3;escritorio;wimdows 7;64 bits;NTFS;word;2010;docx;9000;16;12,5
3;escritorio;wimdows 7;64 bits;NTFS;word;2010;docx;10000;16;13
3;escritorio;wimdows 7;64 bits;NTFS;word;2010;docx;20000;16;12,6
3;escritorio;wimdows 7;64 bits;NTFS;word;2010;docx;30000;16;12,6
3;escritorio;wimdows 7;64 bits;NTFS;word;2010;docx;40000;16;12,7
3;escritorio;wimdows 7;64 bits;NTFS;word;2010;docx;50000;16;12,7
3;escritorio;wimdows 7;64 bits;NTFS;word;2010;docx;60000;16;12,8
3;escritorio;wimdows 7;64 bits;NTFS;word;2010;docx;70000;16;12,9
3;escritorio;wimdows 7;64 bits;NTFS;word;2010;docx;80000;16;12,9
3;escritorio;wimdows 7;64 bits;NTFS;word;2010;docx;90000;16;12,9
3;escritorio;wimdows 7;64 bits;NTFS;word;2010;docx;100000;16;13
