INTEGRANTE;TIPO EQUIPO;        SO;TIPO SO;FORMATO DD;PROCESA TEXTO;VERSIÓN PROCESA;FORMATO;"NUM LETRAS ""A""";TAMAÑO ARCHIVO
1;Portatil;Windows 7;64;NTFS;Microsoft Word;2010;.rft ;1000;36,0 KB
1;Portatil;Windows 7;64;NTFS;Microsoft Word;2010;.rft ;2000;36,0 KB
1;Portatil;Windows 7;64;NTFS;Microsoft Word;2010;.rft ;3000;36,0 KB
1;Portatil;Windows 7;64;NTFS;Microsoft Word;2010;.rft ;4000;40,0 KB
1;Portatil;Windows 7;64;NTFS;Microsoft Word;2010;.rft ;5000;40,0 KB
1;Portatil;Windows 7;64;NTFS;Microsoft Word;2010;.rft ;6000;44,0 KB
1;Portatil;Windows 7;64;NTFS;Microsoft Word;2010;.rft ;7000;44,0 KB
1;Portatil;Windows 7;64;NTFS;Microsoft Word;2010;.rft ;8000;44,0 KB
1;Portatil;Windows 7;64;NTFS;Microsoft Word;2010;.rft ;9000;44,0 KB
1;Portatil;Windows 7;64;NTFS;Microsoft Word;2010;.rft ;10000;44,0 KB
1;Portatil;Windows 7;64;NTFS;Microsoft Word;2010;.rft ;20000;56,0 KB
1;Portatil;Windows 7;64;NTFS;Microsoft Word;2010;.rft ;30000;64,0 KB
1;Portatil;Windows 7;64;NTFS;Microsoft Word;2010;.rft ;40000;76,0 KB
1;Portatil;Windows 7;64;NTFS;Microsoft Word;2010;.rft ;50000;84,0 KB
1;Portatil;Windows 7;64;NTFS;Microsoft Word;2010;.rft ;60000;96,0 KB
1;Portatil;Windows 7;64;NTFS;Microsoft Word;2010;.rft ;70000;108 KB
1;Portatil;Windows 7;64;NTFS;Microsoft Word;2010;.rft ;80000;116 KB
1;Portatil;Windows 7;64;NTFS;Microsoft Word;2010;.rft ;90000;124 KB
1;Portatil;Windows 7;64;NTFS;Microsoft Word;2010;.rft ;100000;136 KB 
2;Portatil;Windows 7;32;NTFS;Microsoft Word;2010;.pdf;1000;80,0 KB
2;Portatil;Windows 7;32;NTFS;Microsoft Word;2010;.pdf;2000;80,0 KB
2;Portatil;Windows 7;32;NTFS;Microsoft Word;2010;.pdf;3000;80,0 KB 
2;Portatil;Windows 7;32;NTFS;Microsoft Word;2010;.pdf;4000;80,0 KB
2;Portatil;Windows 7;32;NTFS;Microsoft Word;2010;.pdf;5000;80,0 KB
2;Portatil;Windows 7;32;NTFS;Microsoft Word;2010;.pdf;6000;80,0 KB
2;Portatil;Windows 7;32;NTFS;Microsoft Word;2010;.pdf;7000;84,0 KB
2;Portatil;Windows 7;32;NTFS;Microsoft Word;2010;.pdf;8000;84,0 KB
2;Portatil;Windows 7;32;NTFS;Microsoft Word;2010;.pdf;9000;84,0 KB
2;Portatil;Windows 7;32;NTFS;Microsoft Word;2010;.pdf;10000;84,0 KB
2;Portatil;Windows 7;32;NTFS;Microsoft Word;2010;.pdf;20000;84,0 KB
2;Portatil;Windows 7;32;NTFS;Microsoft Word;2010;.pdf;30000;88,0 KB
2;Portatil;Windows 7;32;NTFS;Microsoft Word;2010;.pdf;40000;92,0 KB
2;Portatil;Windows 7;32;NTFS;Microsoft Word;2010;.pdf;50000;96,0 KB
2;Portatil;Windows 7;32;NTFS;Microsoft Word;2010;.pdf;60000;96,0 KB
2;Portatil;Windows 7;32;NTFS;Microsoft Word;2010;.pdf;70000;100 KB
2;Portatil;Windows 7;32;NTFS;Microsoft Word;2010;.pdf;80000;104 KB
2;Portatil;Windows 7;32;NTFS;Microsoft Word;2010;.pdf;90000;104 KB
2;Portatil;Windows 7;32;NTFS;Microsoft Word;2010;.pdf;100000;108 KB
3;Escritorio;Windows XP;32;NTFS;Microsoft Word;2007;.doc;1000;11,0 KB
3;Escritorio;Windows XP;32;NTFS;Microsoft Word;2007;.doc;2000;11,0 KB
3;Escritorio;Windows XP;32;NTFS;Microsoft Word;2007;.doc;3000;12,0 KB
3;Escritorio;Windows XP;32;NTFS;Microsoft Word;2007;.doc;4000;12,0 KB
3;Escritorio;Windows XP;32;NTFS;Microsoft Word;2007;.doc;5000; 12,0 KB
3;Escritorio;Windows XP;32;NTFS;Microsoft Word;2007;.doc;6000;12,0 KB
3;Escritorio;Windows XP;32;NTFS;Microsoft Word;2007;.doc;7000;12,0 KB
3;Escritorio;Windows XP;32;NTFS;Microsoft Word;2007;.doc;8000;12,0 KB
3;Escritorio;Windows XP;32;NTFS;Microsoft Word;2007;.doc;9000;12,0 KB
3;Escritorio;Windows XP;32;NTFS;Microsoft Word;2007;.doc;10000;12,0 KB
3;Escritorio;Windows XP;32;NTFS;Microsoft Word;2007;.doc;20000;12,0 KB
3;Escritorio;Windows XP;32;NTFS;Microsoft Word;2007;.doc;30000;12,0 KB
3;Escritorio;Windows XP;32;NTFS;Microsoft Word;2007;.doc;40000;12,0 KB
3;Escritorio;Windows XP;32;NTFS;Microsoft Word;2007;.doc;50000;12,0 KB
3;Escritorio;Windows XP;32;NTFS;Microsoft Word;2007;.doc;60000;12,0 KB
3;Escritorio;Windows XP;32;NTFS;Microsoft Word;2007;.doc;70000;12,0 KB
3;Escritorio;Windows XP;32;NTFS;Microsoft Word;2007;.doc;80000;12,0 KB
3;Escritorio;Windows XP;32;NTFS;Microsoft Word;2007;.doc;90000;13,0 KB
3;Escritorio;Windows XP;32;NTFS;Microsoft Word;2007;.doc;100000;13,0 KB
