Integrantes;TipoEquipo;SO;TipoSO;FormatoDD;ProcesaTexto;Versionprocesa;Formato;NumLetrasa;Tama–oAchivo
1;Portatil;Windows 8.1;32;NTFS;Word;2013;.docx;1.000;12
1;Portatil;Windows 8.1;32;NTFS;Word;2013;.docx;2.000;12
1;Portatil;Windows 8.1;32;NTFS;Word;2013;.docx;3.000;12
1;Portatil;Windows 8.1;32;NTFS;Word;2013;.docx;4.000;12
1;Portatil;Windows 8.1;32;NTFS;Word;2013;.docx;5.000;12
1;Portatil;Windows 8.1;32;NTFS;Word;2013;.docx;6.000;12
1;Portatil;Windows 8.1;32;NTFS;Word;2013;.docx;7.000;12
1;Portatil;Windows 8.1;32;NTFS;Word;2013;.docx;8.000;12
1;Portatil;Windows 8.1;32;NTFS;Word;2013;.docx;9.000;12
1;Portatil;Windows 8.1;32;NTFS;Word;2013;.docx;10.000;12
1;Portatil;Windows 8.1;32;NTFS;Word;2013;.docx;20.000;12
1;Portatil;Windows 8.1;32;NTFS;Word;2013;.docx;30.000;12
1;Portatil;Windows 8.1;32;NTFS;Word;2013;.docx;40.000;12
1;Portatil;Windows 8.1;32;NTFS;Word;2013;.docx;50.000;12
1;Portatil;Windows 8.1;32;NTFS;Word;2013;.docx;60.000;12
1;Portatil;Windows 8.1;32;NTFS;Word;2013;.docx;70.000;12
1;Portatil;Windows 8.1;32;NTFS;Word;2013;.docx;80.000;12
1;Portatil;Windows 8.1;32;NTFS;Word;2013;.docx;90.000;12
1;Portatil;Windows 8.1;32;NTFS;Word;2013;.docx;100.000;12
2;Portatil;Windows 8;64;NTFS;Adobe Reader ;2010;.pdf;1.000;84
2;Portatil;Windows 8;64;NTFS;Adobe Reader ;2010;.pdf;2.000;84
2;Portatil;Windows 8;64;NTFS;Adobe Reader ;2010;.pdf;3.000;84
2;Portatil;Windows 8;64;NTFS;Adobe Reader ;2010;.pdf;4.000;84
2;Portatil;Windows 8;64;NTFS;Adobe Reader ;2010;.pdf;5.000;84
2;Portatil;Windows 8;64;NTFS;Adobe Reader ;2010;.pdf;6.000;84
2;Portatil;Windows 8;64;NTFS;Adobe Reader ;2010;.pdf;7.000;84
2;Portatil;Windows 8;64;NTFS;Adobe Reader ;2010;.pdf;8.000;84
2;Portatil;Windows 8;64;NTFS;Adobe Reader ;2010;.pdf;9.000;84
2;Portatil;Windows 8;64;NTFS;Adobe Reader ;2010;.pdf;10.000;84
2;Portatil;Windows 8;64;NTFS;Adobe Reader ;2010;.pdf;20.000;88
2;Portatil;Windows 8;64;NTFS;Adobe Reader ;2010;.pdf;30.000;92
2;Portatil;Windows 8;64;NTFS;Adobe Reader ;2010;.pdf;40.000;92
2;Portatil;Windows 8;64;NTFS;Adobe Reader ;2010;.pdf;50.000;96
2;Portatil;Windows 8;64;NTFS;Adobe Reader ;2010;.pdf;60.000;100
2;Portatil;Windows 8;64;NTFS;Adobe Reader ;2010;.pdf;70.000;100
2;Portatil;Windows 8;64;NTFS;Adobe Reader ;2010;.pdf;80.000;104
2;Portatil;Windows 8;64;NTFS;Adobe Reader ;2010;.pdf;90.000;105
2;Portatil;Windows 8;64;NTFS;Adobe Reader ;2010;.pdf;100.000;108
3;Portatil;Windows 7;64;NTFS;word;2003;.doc;1.000;28
3;Portatil;Windows 7;64;NTFS;word;2003;.doc;2.000;24
3;Portatil;Windows 7;64;NTFS;word;2003;.doc;3.000;28
3;Portatil;Windows 7;64;NTFS;word;2003;.doc;4.000;32
3;Portatil;Windows 7;64;NTFS;word;2003;.doc;5.000;32
3;Portatil;Windows 7;64;NTFS;word;2003;.doc;6.000;32
3;Portatil;Windows 7;64;NTFS;word;2003;.doc;7.000;32
3;Portatil;Windows 7;64;NTFS;word;2003;.doc;8.000;36
3;Portatil;Windows 7;64;NTFS;word;2003;.doc;9.000;36
3;Portatil;Windows 7;64;NTFS;word;2003;.doc;10.000;36
3;Portatil;Windows 7;64;NTFS;word;2003;.doc;20.000;48
3;Portatil;Windows 7;64;NTFS;word;2003;.doc;30.000;56
3;Portatil;Windows 7;64;NTFS;word;2003;.doc;40.000;68
3;Portatil;Windows 7;64;NTFS;word;2003;.doc;50.000;76
3;Portatil;Windows 7;64;NTFS;word;2003;.doc;60.000;88
3;Portatil;Windows 7;64;NTFS;word;2003;.doc;70.000;96
3;Portatil;Windows 7;64;NTFS;word;2003;.doc;80.000;104
3;Portatil;Windows 7;64;NTFS;word;2003;.doc;90.000;116
3;Portatil;Windows 7;64;NTFS;word;2003;.doc;100.000;124
