Integrante,TipoEquipo,SO,TipoSO,FormatoDD,ProcesaTexto,VersionProcesa,Formato,NumLetrasa,TamañoArchivo,
2,Portatil,Windows 7,32 bits,NTFS,Microsoft Word,2010,rtf,1000,38,
2,Portatil,Windows 7,32 bits,NTFS,Microsoft Word,2010,rtf,2000,39,
2,Portatil,Windows 7,32 bits,NTFS,Microsoft Word,2010,rtf,3000,41,
2,Portatil,Windows 7,32 bits,NTFS,Microsoft Word,2010,rtf,4000,42,
2,Portatil,Windows 7,32 bits,NTFS,Microsoft Word,2010,rtf,5000,43,
2,Portatil,Windows 7,32 bits,NTFS,Microsoft Word,2010,rtf,6000,44,
2,Portatil,Windows 7,32 bits,NTFS,Microsoft Word,2010,rtf,7000,45,
2,Portatil,Windows 7,32 bits,NTFS,Microsoft Word,2010,rtf,8000,46,
2,Portatil,Windows 7,32 bits,NTFS,Microsoft Word,2010,rtf,9000,47,
2,Portatil,Windows 7,32 bits,NTFS,Microsoft Word,2010,rtf,10000,48,
2,Portatil,Windows 7,32 bits,NTFS,Microsoft Word,2010,rtf,20000,58,
2,Portatil,Windows 7,32 bits,NTFS,Microsoft Word,2010,rtf,30000,68,
2,Portatil,Windows 7,32 bits,NTFS,Microsoft Word,2010,rtf,40000,78,
2,Portatil,Windows 7,32 bits,NTFS,Microsoft Word,2010,rtf,50000,88,
2,Portatil,Windows 7,32 bits,NTFS,Microsoft Word,2010,rtf,60000,98,
2,Portatil,Windows 7,32 bits,NTFS,Microsoft Word,2010,rtf,70000,108,
2,Portatil,Windows 7,32 bits,NTFS,Microsoft Word,2010,rtf,80000,118,
2,Portatil,Windows 7,32 bits,NTFS,Microsoft Word,2010,rtf,90000,128,
2,Portatil,Windows 7,32 bits,NTFS,Microsoft Word,2010,rtf,100000,138,
2,Portatil,Windows 7,32 bits,NTFS,Microsoft Word,2010,.xml,1000,39,
2,Portatil,Windows 7,32 bits,NTFS,Microsoft Word,2010,.xml,2000,40,
2,Portatil,Windows 7,32 bits,NTFS,Microsoft Word,2010,.xml,3000,41,
2,Portatil,Windows 7,32 bits,NTFS,Microsoft Word,2010,.xml,4000,42,
2,Portatil,Windows 7,32 bits,NTFS,Microsoft Word,2010,.xml,5000,43,
2,Portatil,Windows 7,32 bits,NTFS,Microsoft Word,2010,.xml,6000,45,
2,Portatil,Windows 7,32 bits,NTFS,Microsoft Word,2010,.xml,7000,46,
2,Portatil,Windows 7,32 bits,NTFS,Microsoft Word,2010,.xml,8000,47,
2,Portatil,Windows 7,32 bits,NTFS,Microsoft Word,2010,.xml,9000,48,
2,Portatil,Windows 7,32 bits,NTFS,Microsoft Word,2010,.xml,10000,49,
2,Portatil,Windows 7,32 bits,NTFS,Microsoft Word,2010,.xml,20000,59,
2,Portatil,Windows 7,32 bits,NTFS,Microsoft Word,2010,.xml,30000,70,
2,Portatil,Windows 7,32 bits,NTFS,Microsoft Word,2010,.xml,40000,80,
2,Portatil,Windows 7,32 bits,NTFS,Microsoft Word,2010,.xml,50000,91,
2,Portatil,Windows 7,32 bits,NTFS,Microsoft Word,2010,.xml,60000,101,
2,Portatil,Windows 7,32 bits,NTFS,Microsoft Word,2010,.xml,70000,112,
2,Portatil,Windows 7,32 bits,NTFS,Microsoft Word,2010,.xml,80000,122,
2,Portatil,Windows 7,32 bits,NTFS,Microsoft Word,2010,.xml,90000,133,
2,Portatil,Windows 7,32 bits,NTFS,Microsoft Word,2010,.xml,100000,143,
1,Escritorio,windows 7,64 bits,ntfs,Microsoft Word,2007,docx,1000,12,
1,Escritorio,windows 7,64 bits,ntfs,Microsoft Word,2007,docx,2000,12,
1,Escritorio,windows 7,64 bits,ntfs,Microsoft Word,2007,docx,3000,12,
1,Escritorio,windows 7,64 bits,ntfs,Microsoft Word,2007,docx,4000,12,
1,Escritorio,windows 7,64 bits,ntfs,Microsoft Word,2007,docx,5000,12,
1,Escritorio,windows 7,64 bits,ntfs,Microsoft Word,2007,docx,6000,12,
1,Escritorio,windows 7,64 bits,ntfs,Microsoft Word,2007,docx,7000,12,
1,Escritorio,windows 7,64 bits,ntfs,Microsoft Word,2007,docx,8000,12,
1,Escritorio,windows 7,64 bits,ntfs,Microsoft Word,2007,docx,9000,12,
1,Escritorio,windows 7,64 bits,ntfs,Microsoft Word,2007,docx,10000,12,
1,Escritorio,windows 7,64 bits,ntfs,Microsoft Word,2007,docx,20000,12,
1,Escritorio,windows 7,64 bits,ntfs,Microsoft Word,2007,docx,30000,12,
1,Escritorio,windows 7,64 bits,ntfs,Microsoft Word,2007,docx,40000,12,
1,Escritorio,windows 7,64 bits,ntfs,Microsoft Word,2007,docx,50000,12,
1,Escritorio,windows 7,64 bits,ntfs,Microsoft Word,2007,docx,60000,12,
1,Escritorio,windows 7,64 bits,ntfs,Microsoft Word,2007,docx,80000,12,
1,Escritorio,windows 7,64 bits,ntfs,Microsoft Word,2007,docx,90000,12,
1,Escritorio,windows 7,64 bits,ntfs,Microsoft Word,2007,docx,100000,12,
