Integrante;TipoEquipo;SO;TipoSO;FormatoDD;ProcesaTexto;VersiónProcesa;Formato;NumLetrasa;TamañoArchivo
1;Portatil;Windows 8;64 Bits;NTFS;Microsof Word;2013;.docx;1000;16,0 KB
1;Portatil;Windows 8;64 Bits;NTFS;Microsof Word;2013;.docx;2000;16,0 KB
1;Portatil;Windows 8;64 Bits;NTFS;Microsof Word;2013;.docx;3000;16,0 KB
1;Portatil;Windows 8;64 Bits;NTFS;Microsof Word;2013;.docx;4000;16,0 KB
1;Portatil;Windows 8;64 Bits;NTFS;Microsof Word;2013;.docx;5000;16,0 KB
1;Portatil;Windows 8;64 Bits;NTFS;Microsof Word;2013;.docx;6000;16,0 KB
1;Portatil;Windows 8;64 Bits;NTFS;Microsof Word;2013;.docx;7000;16,0 KB
1;Portatil;Windows 8;64 Bits;NTFS;Microsof Word;2013;.docx;8000;16,0 KB
1;Portatil;Windows 8;64 Bits;NTFS;Microsof Word;2013;.docx;9000;16,0 KB
1;Portatil;Windows 8;64 Bits;NTFS;Microsof Word;2013;.docx;10000;16,0 KB
1;Portatil;Windows 8;64 Bits;NTFS;Microsof Word;2013;.docx;20000;16,0 KB
1;Portatil;Windows 8;64 Bits;NTFS;Microsof Word;2013;.docx;30000;16,0 KB
1;Portatil;Windows 8;64 Bits;NTFS;Microsof Word;2013;.docx;40000;16,0 KB
1;Portatil;Windows 8;64 Bits;NTFS;Microsof Word;2013;.docx;50000;16,0 KB
1;Portatil;Windows 8;64 Bits;NTFS;Microsof Word;2013;.docx;60000;16,0 KB
1;Portatil;Windows 8;64 Bits;NTFS;Microsof Word;2013;.docx;70000;16,0 KB
1;Portatil;Windows 8;64 Bits;NTFS;Microsof Word;2013;.docx;80000;16,0 KB
1;Portatil;Windows 8;64 Bits;NTFS;Microsof Word;2013;.docx;90000;16,0 KB
1;Portatil;Windows 8;64 Bits;NTFS;Microsof Word;2013;.docx;100000;16,0 KB
;;;;;;;;;
1;Portatil;Windows 8;64 Bits;NTFS;WordPad;2013;.rtf;1000;4,00 KB 
1;Portatil;Windows 8;64 Bits;NTFS;WordPad;2013;.rtf;2000;4,00 KB 
1;Portatil;Windows 8;64 Bits;NTFS;WordPad;2013;.rtf;3000;4,00 KB 
1;Portatil;Windows 8;64 Bits;NTFS;WordPad;2013;.rtf;4000;8,00 KB
1;Portatil;Windows 8;64 Bits;NTFS;WordPad;2013;.rtf;5000;8,00 KB
