;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESTIMACIONES DE POBLACIÓN 1985-2005  (4) Y PROYECCIONES DE POBLACIÓN 2005-2020 NACIONAL, DEPARTAMENTAL Y MUNICIPAL POR SEXO Y EDADES SIMPLES DE 0 A 26 AÑOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A junio 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1985;;;1986;;;1987;;;1988;;;1989;;;1990;;;1991;;;1992;;;1993;;;1994;;;1995;;;1996;;;1997;;;1998;;;1999;;;2000;;;2001;;;2002;;;2003;;;2004;;;2005;;;2006;;;2007;;;2008;;;2009;;;2010;;;2011;;;2012;;;2013;;;2014;;;2015;;;2016;;;2017;;;2018;;;2019;;;2020;;
Código;Edad;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres
00;NACIONAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;0;849.098;423.746;425.352;859.513;431.133;428.380;875.424;442.689;432.735;894.808;456.599;438.209;914.669;470.284;444.385;931.333;481.053;450.280;945.612;490.655;454.957;953.411;494.800;458.611;955.551;494.152;461.399;951.924;489.137;462.787;945.089;482.198;462.891;940.975;478.465;462.510;932.149;473.186;458.963;919.708;466.975;452.733;905.048;460.209;444.839;890.331;453.498;436.833;875.876;446.083;429.793;864.295;440.350;423.945;857.234;437.170;420.064;853.978;436.092;417.886;856.218;438.024;418.194;851.173;435.887;415.286;850.081;435.572;414.509;851.231;436.054;415.177;854.430;437.453;416.977;858.618;439.364;419.254;862.281;441.130;421.151;865.188;442.628;422.560;867.532;443.921;423.611;870.130;445.282;424.848;873.444;446.997;426.447;876.233;448.451;427.782;878.602;449.714;428.888;880.465;450.741;429.724;881.541;451.447;430.094;882.144;451.966;430.178
;1;837.402;417.921;419.481;848.899;425.265;423.634;863.381;435.183;428.198;879.565;446.401;433.164;895.897;457.468;438.429;910.504;466.783;443.721;924.493;476.057;448.436;934.115;481.801;452.314;939.811;484.187;455.624;940.698;483.120;457.578;938.202;479.849;458.353;937.157;478.268;458.889;931.853;474.906;456.947;923.109;470.296;452.813;912.212;464.889;447.323;900.740;459.306;441.434;888.675;452.957;435.718;877.931;447.505;430.426;869.800;443.539;426.261;864.235;441.091;423.144;862.734;440.837;421.897;857.388;438.425;418.963;854.540;437.187;417.353;853.612;436.764;416.848;854.392;437.147;417.245;856.304;438.075;418.229;858.510;439.200;419.310;860.702;440.332;420.370;862.907;441.505;421.402;865.381;442.823;422.558;868.188;444.266;423.922;871.040;445.751;425.289;873.646;447.119;426.527;875.812;448.296;427.516;877.271;449.142;428.129;878.196;449.764;428.432
;2;824.903;411.679;413.224;837.206;418.942;418.264;850.584;427.500;423.084;864.297;436.529;427.768;877.927;445.510;432.417;890.911;453.652;437.259;904.574;462.564;442.010;915.758;469.553;446.205;924.381;474.464;449.917;929.022;476.621;452.401;930.267;476.472;453.795;931.962;476.903;455.059;929.861;475.339;454.522;924.569;472.279;452.290;917.101;468.243;448.858;908.770;463.886;444.884;899.047;458.632;440.415;889.351;453.554;435.797;880.636;449.149;431.487;873.415;445.633;427.782;868.980;443.610;425.370;863.419;440.977;422.442;859.266;439.069;420.197;856.484;437.808;418.676;855.106;437.245;417.861;854.932;437.260;417.672;855.752;437.736;418.016;857.236;438.526;418.710;859.074;439.513;419.561;861.307;440.662;420.645;863.638;441.859;421.779;866.457;443.343;423.114;869.155;444.773;424.382;871.506;446.021;425.485;873.295;447.006;426.289;874.477;447.719;426.758
;3;811.561;405.005;406.556;824.426;412.134;412.292;837.039;419.633;417.406;848.976;427.009;421.967;860.704;434.366;426.338;872.512;441.598;430.914;885.982;450.212;435.770;898.271;458.073;440.198;909.212;464.916;444.296;916.844;469.654;447.190;921.267;472.142;449.125;925.317;474.284;451.033;926.088;474.415;451.673;923.998;472.903;451.095;919.765;470.283;449.482;914.407;467.197;447.210;907.024;463.077;443.947;898.577;458.559;440.018;889.831;454.000;435.831;881.603;449.786;431.817;875.005;446.415;428.590;869.373;443.656;425.717;864.144;441.139;423.005;859.820;439.167;420.653;856.614;437.773;418.841;854.616;436.950;417.666;854.131;436.809;417.322;854.757;437.213;417.544;856.148;437.953;418.195;857.969;438.898;419.071;859.767;439.817;419.950;862.432;441.237;421.195;865.135;442.650;422.485;867.585;443.940;423.645;869.589;445.031;424.558;871.005;445.801;425.204
;4;797.369;397.888;399.481;810.584;404.856;405.728;822.768;411.609;411.159;833.620;417.804;415.816;844.224;424.053;420.171;855.328;430.628;424.700;868.615;438.935;429.680;881.757;447.396;434.361;894.290;455.604;438.686;904.223;462.240;441.983;911.180;466.801;444.379;917.288;470.449;446.839;920.581;472.109;448.472;921.417;472.156;449.261;920.160;470.962;449.198;917.655;469.250;448.405;912.478;466.256;446.222;905.542;462.453;443.089;897.250;458.010;439.240;888.716;453.496;435.220;880.837;449.283;431.554;875.257;446.440;428.817;869.224;443.461;425.763;863.667;440.875;422.792;858.862;438.714;420.148;855.251;437.138;418.113;853.563;436.407;417.156;853.266;436.343;416.923;854.064;436.802;417.262;855.336;437.475;417.861;856.600;438.132;418.468;858.989;439.424;419.565;861.538;440.767;420.771;863.990;442.052;421.938;866.130;443.168;422.962;867.743;444.042;423.701
;5;786.791;392.626;394.165;800.566;399.451;401.115;811.543;404.929;406.614;819.937;409.182;410.755;828.024;413.519;414.505;837.444;418.994;418.450;850.242;426.930;423.312;864.509;436.319;428.190;879.293;446.510;432.783;892.167;455.690;436.477;901.968;462.653;439.315;910.208;467.801;442.407;915.852;470.719;445.133;919.276;471.841;447.435;920.693;471.632;449.061;920.584;470.812;449.772;917.281;468.668;448.613;911.162;465.202;445.960;902.618;460.517;442.101;892.895;455.302;437.593;882.808;449.772;433.036;877.396;446.986;430.410;870.709;443.707;427.002;864.110;440.736;423.374;858.084;438.124;419.960;853.286;436.080;417.206;850.881;435.038;415.843;850.306;434.825;415.481;851.072;435.245;415.827;852.365;435.917;416.448;853.324;436.394;416.930;855.642;437.658;417.984;858.341;439.069;419.272;860.845;440.363;420.482;863.131;441.506;421.625;864.913;442.456;422.457
;6;770.718;384.467;386.251;784.201;391.068;393.133;795.339;396.392;398.947;804.353;400.672;403.681;812.857;404.928;407.929;822.625;410.350;412.275;835.500;418.018;417.482;849.731;427.227;422.504;864.841;437.531;427.310;878.400;447.179;431.221;889.521;455.105;434.416;898.973;461.159;437.814;906.549;465.434;441.115;912.257;468.051;444.206;916.153;469.421;446.732;918.607;470.073;448.534;917.562;469.257;448.305;913.447;466.834;446.613;906.481;462.939;443.542;897.998;458.268;439.730;888.503;452.939;435.564;883.516;450.269;433.247;876.681;446.816;429.865;869.535;443.452;426.083;862.550;440.268;422.282;856.643;437.612;419.031;853.089;435.991;417.098;851.376;435.252;416.124;851.165;435.195;415.970;851.509;435.374;416.135;851.776;435.522;416.254;853.513;436.499;417.014;855.740;437.693;418.047;858.061;438.895;419.166;860.288;440.052;420.236;862.057;440.930;421.127
;7;754.175;376.080;378.095;767.042;382.371;384.671;778.561;387.780;390.781;788.645;392.428;396.217;798.318;397.093;401.225;808.817;402.699;406.118;821.784;410.113;411.671;835.788;418.888;416.900;850.568;428.736;421.832;864.229;438.293;425.936;876.098;446.651;429.447;886.430;453.372;433.058;895.516;458.777;436.739;903.183;462.866;440.317;909.330;465.825;443.505;914.126;467.972;446.154;915.261;468.471;446.790;913.373;467.303;446.070;908.605;464.530;444.075;902.005;460.777;441.228;893.808;456.030;437.778;889.444;453.601;435.843;882.798;450.126;432.672;875.342;446.467;428.875;867.785;442.870;424.915;861.027;439.680;421.347;856.434;437.516;418.918;853.560;436.183;417.377;852.129;435.540;416.589;851.479;435.247;416.232;851.038;435.073;415.965;852.017;435.678;416.339;853.645;436.573;417.072;855.690;437.661;418.029;857.759;438.708;419.051;859.496;439.598;419.898
