"codigos";"deptos";"Total.2011"
"91";"Amazonas";28989
"05";"Antioquia";1749941
"81";"Arauca";93332
"08";"Atlántico";694873
"11";"Bogotá, D.C.";2002982
"13";"Bolívar";652755
"15";"Boyacá";390214
"17";"Caldas";273658
"18";"Caquetá";161262
"85";"Casanare";113873
"19";"Cauca";434774
"20";"Cesar";344988
"27";"Chocó";190298
"23";"Córdoba";537920
"25";"Cundinamarca";765185
"94";"Guainía";15657
"95";"Guaviare";40538
"41";"Huila";365289
"44";"La Guajira";295745
"47";"Magdalena";426670
"50";"Meta";278735
"52";"Nariño";524615
"54";"Norte De Santander";424753
"86";"Putumayo";122256
"63";"Quindio";155059
"66";"Risaralda";261020
"88";"San Andrés";21354
"68";"Santander";586870
"70";"Sucre";273831
"73";"Tolima";432970
"76";"Valle Del Cauca";1232767
"97";"Vaupés";16432
"99";"Vichada";26189
