;;;;;;;;;;;;;;;;;;;;;;;;;
;;SABER 11.°. RESULTADOS AGREGADOS POR INSTITUCIÓN EDUCATIVA - 2012;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
CODINST;NOMBREINSTITUCION;CODIGOMUNICIPIO;NOMBREMUNICIPIO;DEPARTAMENTO;CALENDARIO;NATURALEZA;JORNADA;PROMEDIOMATEMATICA;PROMEDIOQUIMICA;PROMEDIOFISICA;PROMEDIOBIOLOGIA;PROMEDIOFILOSOFIA;PROMEDIOINGLES;PROMEDIOLENGUAJE;PROMEDIOSOCIALES;DESVIACIONMATEMATICA;DESVIACIONQUIMICA;DESVIACIONFISICA;DESVIACIONBIOLOGIA;DESVIACIONFILOSOFIA;DESVIACIONINGLES;DESVIACIONLENGUAJE;DESVIACIONSOCIALES;EVALUADOS;PERIODO
000018;ATENEO HORIZONTE;05001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;COMPLETA U ORDINARIA;47,42;47,83;45,58;49,25;45,08;61,08;54,25;49,50;9,78;3,33;4,56;6,51;6,57;13,48;7,47;8,64;12;20122
000059;CENTRO FORMATIVO DE ANTIOQUIA CEFA;05001;MEDELLIN;ANTIOQUIA;A;OFICIAL;MAÑANA;48,83;47,22;44,97;48,04;44,20;47,46;50,52;48,03;9,97;5,97;7,05;6,97;8,00;9,44;6,27;7,79;1.092;20122
000075;COLEGIO SANTOS ANGELES CUSTODIOS;05001;MEDELLIN;ANTIOQUIA;A;OFICIAL;MAÑANA;46,31;45,80;44,08;45,47;42,03;48,03;50,08;44,69;8,77;4,86;6,08;6,65;8,39;12,52;4,89;8,37;64;20122
000083;COLEGIO BARBARA MICARELLI;05001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;MAÑANA;48,58;47,00;42,23;48,77;46,52;49,26;51,58;49,52;11,53;6,58;7,18;6,77;9,19;10,17;5,62;7,82;31;20122
000091;COLEGIO BETHLEMITAS;05001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;MAÑANA;57,65;52,59;51,03;51,76;48,30;68,49;54,84;52,88;10,18;5,55;7,25;7,33;8,33;11,65;5,98;7,54;100;20122
000125;COLEGIO CALASANZ FEMENINO;05001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;MAÑANA;52,73;48,51;47,57;48,63;46,97;57,13;53,43;53,21;10,54;5,20;7,80;7,64;7,75;11,86;6,30;7,37;94;20122
000141;COLEGIO CALASANZ;05001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;COMPLETA U ORDINARIA;66,60;55,10;55,69;56,61;45,16;67,61;54,54;54,84;13,09;5,48;8,51;8,55;9,23;14,00;6,33;7,94;101;20122
000174;COLEGIO CORAZONISTA;05001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;MAÑANA;71,28;60,41;59,84;60,07;51,91;73,99;57,76;57,83;13,04;6,35;8,93;8,91;7,87;11,19;6,70;6,65;100;20122
000182;COLEGIO CRISTOBAL COLON (THE COLUMBUS SCHOOL);05266;ENVIGADO;ANTIOQUIA;B;NO OFICIAL;COMPLETA U ORDINARIA;69,01;55,72;61,81;55,52;53,27;87,64;61,01;53,57;15,03;9,47;13,46;8,71;11,49;8,56;6,53;7,15;86;20121
000190;COLEGIO DE LA COMPAÑIA DE MARIA;05001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;COMPLETA U ORDINARIA;76,25;62,32;63,91;63,81;54,65;78,71;62,19;61,58;12,39;6,98;8,56;7,18;6,64;10,52;7,38;6,61;77;20122
000208;COLEGIO DE LA PRESENTACION MEDELLIN;05001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;MAÑANA;50,85;49,55;47,20;50,35;46,20;60,65;55,44;53,71;12,70;7,43;8,41;8,74;8,10;14,23;6,70;9,43;84;20122
000216;COLEGIO DE MARIA;05001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;MAÑANA;45,91;44,14;44,59;48,05;43,50;45,77;48,73;45,45;9,13;5,93;7,06;7,56;8,59;9,45;5,67;5,05;22;20122
000232;COLEGIO EUCARISTICO DE LA MILAGROSA;05001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;MAÑANA;48,93;47,37;43,80;49,10;46,53;49,60;51,47;49,47;10,15;5,79;7,75;8,49;6,89;10,30;6,89;8,09;30;20122
000240;INSTITUTO FERRINI;05001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;MAÑANA;57,06;51,81;48,94;54,66;48,81;60,28;53,34;54,53;10,13;6,51;8,38;8,59;6,77;13,43;5,83;9,43;32;20122
000257;INSTITUTO FERRINI;05001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;TARDE;48,34;44,62;44,40;46,56;43,24;45,42;48,58;46,38;8,89;4,89;7,04;5,56;8,28;9,96;6,48;7,40;50;20122
000265;INSTITUTO FERRINI;05001;MEDELLIN;ANTIOQUIA;F;NO OFICIAL;NOCHE;44,94;43,02;42,80;44,24;37,50;48,33;48,91;46,37;8,71;7,02;11,71;7,57;10,03;15,56;8,66;9,01;54;20121
000265;INSTITUTO FERRINI;05001;MEDELLIN;ANTIOQUIA;F;NO OFICIAL;NOCHE;42,69;43,04;41,81;46,19;38,19;45,23;46,42;44,00;8,56;3,99;4,63;4,91;7,61;7,36;6,63;9,58;26;20122
